Name,Link
"Allen, Albert",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=7201
"Allen, Anne",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=6048
"Allen, Courtney",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=5720
"Allen, Eldon",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=7202
"Allen, James",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=19508
"Allen, James E.",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=2889
"Allen, Joseph",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=6097
"Allen, Luther",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=61
"Allet, Giovanni",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=2890
"Allet, Jean Charles",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=2890
"Allom, Thomas",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=9816
"Allori, Alessandro",https://web.archive.org/web/20120921180336/http://www.nga.gov/cgi-bin/tsearch?artistid=2344
"Allori, Alessandro di Cristofano di Lorenzo",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=2344
"Allston, Washington",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=2345
"Alma-Tadema, Laura Theresa",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=5862
"Alma-Tadema, Lawrence",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=9817
"Alma-Tadema, Lawrence, Sir",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=9817
